lon,lat,name,address,pname,cityname,business_area,type
114.57910049922785,30.648416349582092,湖北大学阳逻校区,阳逻平江东路630号,湖北省,武汉市,阳逻,科教文化服务;学校;高等院校
114.51940936979817,30.719489538691377,武汉生物工程学院青春护航学院,阳逻开发区汉施公路1号武汉生物工程学院江南水乡潇湘居附近,湖北省,武汉市,长江新区,科教文化服务;学校;高等院校
114.56295780847978,30.672934886882597,阳逻老年大学,环湖路阳逻湖滨花园,湖北省,武汉市,长江新区,科教文化服务;学校;成人教育
114.54165379709984,30.715404593309803,宝武大学(武汉校区),汉施公路18号,湖北省,武汉市,长江新区,科教文化服务;科教文化场所;科教文化场所
114.59593173853456,30.835768405432216,武汉市新洲区仓埠街老年大学,东兴街81号,湖北省,武汉市,长江新区,科教文化服务;学校;成人教育
114.8039314596787,30.847071075401335,武汉开放大学(新洲区分校),永安大道357号,湖北省,武汉市,邾城,科教文化服务;学校;成人教育
114.8000315692619,30.83977151068706,新洲区老年大学,新光明里44,湖北省,武汉市,邾城,科教文化服务;学校;成人教育
114.0710788029402,30.3147894272642,武汉市汉南老年大学,经济技术开发区育才路11号,湖北省,武汉市,纱帽,科教文化服务;学校;成人教育
114.15491263462559,30.51767267888845,江汉大学,经济技术开发区沌阳街道三角湖路8号,湖北省,武汉市,,科教文化服务;学校;高等院校
114.17206800773124,30.5075948049807,中国车谷老年大学,体育路117号,湖北省,武汉市,沌口,科教文化服务;学校;成人教育
114.02413596946467,30.533540695664495,长江大学(武汉校区),蔡甸街道大学路111号,湖北省,武汉市,,科教文化服务;学校;高等院校
114.1013224068762,30.35632605522521,华中科技大学(军山校区),[],湖北省,武汉市,,科教文化服务;学校;高等院校
114.10769514486303,30.376836886089205,武汉理工大学(军山校区),汉南大道,湖北省,武汉市,,科教文化服务;学校;高等院校
114.02432079955754,30.587026324537277,蔡甸老年大学,义勇路135号,湖北省,武汉市,,科教文化服务;学校;成人教育
114.37982720763246,30.476838711361932,中南财经政法大学南湖校区,南湖大道182号中南财经政法大学,湖北省,武汉市,,科教文化服务;学校;高等院校
114.44538749906391,30.49211108859481,湖北体育职业学院,东湖高新区高新大道333号(湖口地铁站D口步行90米),湖北省,武汉市,,科教文化服务;学校;高等院校
114.42715918416211,30.463421610334972,武汉工程大学流芳校区,东湖新技术开发区光谷一路206号,湖北省,武汉市,流芳,科教文化服务;学校;高等院校
114.43101001804123,30.465459578604083,武汉工程大学,光谷金融港,湖北省,武汉市,流芳,科教文化服务;学校;高等院校
114.43622018563538,30.46267770085138,武汉工程大学东区,东湖高新技术开发区流芳园中路9号,湖北省,武汉市,流芳,科教文化服务;学校;高等院校
114.33199149955672,30.38061122959511,武汉纺织大学(阳光校区),阳光大道1号,湖北省,武汉市,,科教文化服务;学校;高等院校
114.41242074250172,30.387792163575476,武汉纺织大学外经贸学院,藏龙岛科技园栗庙路19号,湖北省,武汉市,,科教文化服务;学校;高等院校
114.37216280225715,30.443001822124128,聚梦年华中老年大学,江夏大道334号附2号,湖北省,武汉市,,科教文化服务;学校;成人教育
114.37195591266455,30.443242970813607,武汉市汤逊湖中老年大学,江夏大道334号附2号,湖北省,武汉市,,科教文化服务;学校;成人教育
114.31580130224211,30.351850859966614,江夏老年大学,纸坊街古驿道72号,湖北省,武汉市,纸坊,科教文化服务;学校;成人教育
114.4265061632314,30.41412621278875,农银大学(湖北分校),杨桥湖大道8号湖北经济学院法商学院笃行楼,湖北省,武汉市,藏龙岛,科教文化服务;学校;高等院校
114.55193557528881,30.46570953150065,鄂州市老年人大学,S8关豹高速与豹澥互通交叉口东120米,湖北省,武汉市,,科教文化服务;学校;成人教育
114.32883863511887,30.229197607748386,乌龙泉街福利院老年学校,乌龙泉街福利院老年学校(纸贺路东),湖北省,武汉市,,科教文化服务;学校;成人教育
114.32863270801671,30.579232206291472,湖北大学(武昌校区),友谊大道368号(湖北大学地铁站E口步行160米),湖北省,武汉市,徐家棚,科教文化服务;学校;高等院校
114.32183758732644,30.582051159845207,湖北科技学校-湖北中医药大学,三角路地铁站A口步行350米,湖北省,武汉市,徐家棚,科教文化服务;学校;高等院校
114.30788237542482,30.55278804271466,湖北中医药大学昙华林校区,昙华林特1号(螃蟹岬地铁站E口步行330米),湖北省,武汉市,小东门,科教文化服务;学校;高等院校
114.35108931764158,30.60869377363222,武汉理工大学(余家头校区),和平大道1178号,湖北省,武汉市,杨园,科教文化服务;学校;高等院校
114.30771076255849,30.53978077161739,中南财经政法大学首义校区,首义路街道武珞路114号,湖北省,武汉市,中南路/中南,科教文化服务;学校;高等院校
114.29135869726431,30.5441041947037,武昌老年大学,彭刘杨路129号,湖北省,武汉市,司门口,科教文化服务;学校;成人教育
114.36727623096898,30.581686683745485,武汉纺织大学(东湖校区),东湖梨园渔光村1号,湖北省,武汉市,东亭,科教文化服务;学校;高等院校
114.35807680981893,30.56304442257122,湖北省老年大学,东湖路158号,湖北省,武汉市,,科教文化服务;学校;成人教育
114.35881112726769,30.538658768045835,武汉大学,珞珈山街道八一路299号,湖北省,武汉市,珞珈山,科教文化服务;学校;高等院校
114.35306707197807,30.60535398239568,武汉理工大学(余家头校区)天象馆,武汉理工大学余家头校区,湖北省,武汉市,钢都,科教文化服务;科教文化场所;科教文化场所
114.35680273259707,30.546188125955098,武汉大学工学部,校园北路,湖北省,武汉市,珞珈山,科教文化服务;学校;高等院校
114.33458497890643,30.546359677640652,湖北财经专修学院,洪山路2号湖北科教大厦,湖北省,武汉市,水果湖,科教文化服务;学校;成人教育
114.32050054103627,30.53868903981185,武汉数字化老年大学,武珞路230号未来家园产业大厦10楼,湖北省,武汉市,中南路/中南,科教文化服务;培训机构;培训机构
114.36212253075378,30.574495725722254,知音老年大学,东湖路知音传媒集团内直行到底后右转到底,湖北省,武汉市,东亭,科教文化服务;学校;成人教育
114.31568363875233,30.512329638911925,南湖街老年大学,雅安街与平安路交叉口东140米,湖北省,武汉市,丁字桥,科教文化服务;学校;成人教育
114.36086833039096,30.53413841706771,武汉老年大学(武大分校),八一路483号,湖北省,武汉市,珞珈山,科教文化服务;学校;成人教育
114.23529118543942,30.638800804815336,武汉轻工大学(常青校区),常青花园学府南路68号,湖北省,武汉市,常青,科教文化服务;学校;高等院校
114.23823757491142,30.645073937386393,常青花园老年大学,公园环路130号(常青花园地铁站E口步行230米),湖北省,武汉市,常青,科教文化服务;学校;成人教育
114.21690505657912,30.655690215784116,武汉轻工大学(金银湖校区),马池路金银湖管委会,湖北省,武汉市,,科教文化服务;学校;高等院校
114.22571339104285,30.657975560711623,武汉市东西湖区金银湖街老年学校,联通佳苑南3门旁,湖北省,武汉市,,科教文化服务;学校;成人教育
114.13435969626252,30.62786087923231,东西湖区老龄委老干局老年大学,吴家山吴祁街17号,湖北省,武汉市,吴家山,科教文化服务;学校;成人教育
114.14005027557306,30.61517293116809,东西湖区长青街老年大学,革新大道584号,湖北省,武汉市,吴家山,科教文化服务;学校;成人教育
114.11883177286627,30.59819504100892,慈惠街道办事处老年学校,吴家山慈惠农场,湖北省,武汉市,,科教文化服务;学校;成人教育
114.14000415278834,30.615200845442484,长青老年学校,革新大道与三秀路交叉口西南80米,湖北省,武汉市,吴家山,科教文化服务;学校;成人教育
113.97696745162314,30.685762262851277,燕岭老年学校,油纱路,湖北省,武汉市,,科教文化服务;学校;成人教育
113.94578493673049,30.696386489011104,新沟镇街老年学校,新沟镇燕岭社区,湖北省,武汉市,,科教文化服务;学校;成人教育
113.92862292714898,30.74476630232399,东西湖区辛安渡办事处老年学校,惠安大道与张辛路交叉口西北240米,湖北省,武汉市,,科教文化服务;学校;成人教育
114.27759238933254,30.562527718401657,武汉开放大学(汉阳分校),知音大道高公街公交站旁,湖北省,武汉市,江滩,科教文化服务;学校;成人教育
114.23034634679473,30.569948884917306,武汉船舶职业技术学院,月湖街铁桥南村2号,湖北省,武汉市,,科教文化服务;学校;高等院校
114.24468437325604,30.555279707505093,汉阳区老年大学,汉阳大道与马沧湖路交叉口北160米,湖北省,武汉市,五里墩,科教文化服务;学校;成人教育
114.2585393380746,30.57438700740264,硚口老年大学,集贤路特1号(崇仁路地铁站B口步行450米),湖北省,武汉市,崇仁路,科教文化服务;学校;成人教育
