lon,lat,name,address,pname,cityname,business_area,type
114.7957863457942,30.844140065390604,武汉市新洲区人民政府,邾城街道红旗街14号,湖北省,武汉市,邾城,政府机构及社会团体;政府机关;区县级政府及事业单位
114.80901452469118,30.836195240688028,武汉市新洲区教育局,衡洲大道238号,湖北省,武汉市,邾城,政府机构及社会团体;政府机关;区县级政府及事业单位
114.79976514851796,30.850540976416163,武汉市新洲区财政局,齐安大道381号,湖北省,武汉市,邾城,政府机构及社会团体;政府机关;区县级政府及事业单位
114.78215795166547,30.927501181761173,三店街道办事处,龙丘大街315号,湖北省,武汉市,,政府机构及社会团体;政府机关;乡镇级政府及事业单位
114.57608062132094,30.671002271421315,新洲区阳逻街政务服务中心,潘庙四路与长丰路交叉口东160米,湖北省,武汉市,阳逻,政府机构及社会团体;政府机关;乡镇级政府及事业单位
114.79888886420947,30.834559528114315,武汉市新洲区民政局,齐安大道131号,湖北省,武汉市,邾城,政府机构及社会团体;政府机关;区县级政府及事业单位
114.79883491263182,30.84454581663518,新洲区民政局社区服务大楼,齐安大道326号,湖北省,武汉市,邾城,政府机构及社会团体;政府机关;区县级政府及事业单位|商务住宅;楼宇;商务写字楼
114.79890603398842,30.844681858018276,民政局婚姻登记处,齐安大道326号新洲区民政局社区服务大楼F1层,湖北省,武汉市,邾城,政府机构及社会团体;政府机关;区县级政府及事业单位
114.78906943721921,30.671617898627343,涨渡湖街道办事处,[],湖北省,武汉市,,政府机构及社会团体;政府机关;乡镇级政府及事业单位
114.74980243920801,30.92673419945785,凤凰镇人民政府,凤凰镇人民路2号,湖北省,武汉市,,政府机构及社会团体;政府机关;乡镇级政府及事业单位
114.80268398664907,30.835815256222165,武汉市新洲区人力资源和社会保障局,衡州大道176号,湖北省,武汉市,邾城,政府机构及社会团体;政府机关;区县级政府及事业单位
114.80374813795969,30.834883623744087,武汉市新洲区住房和城市更新局,衡洲大道161号,湖北省,武汉市,邾城,政府机构及社会团体;政府机关;区县级政府及事业单位
114.7910257004084,30.836116182552423,武汉市新洲区水务局,衡洲大道32号,湖北省,武汉市,邾城,政府机构及社会团体;政府机关;区县级政府及事业单位
114.83438132552708,30.64491895295202,大埠村村委会,[],湖北省,武汉市,,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
114.82976433342662,30.85288647841723,红峰村村委会,新徐公路,湖北省,武汉市,,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
114.61249994281978,30.792403162319676,武汉市新洲区仓埠街周铺村村民委员会,周铺村,湖北省,武汉市,长江新区,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
114.66770727507624,30.874450711589823,李集街道办事处,府场街16号,湖北省,武汉市,,政府机构及社会团体;政府机关;乡镇级政府及事业单位
114.80786926361397,30.835570528642954,武汉市新洲区医疗保障局,邾城街衡州大街220号,湖北省,武汉市,邾城,政府机构及社会团体;政府机关;政府机关相关
